,id,text,result
32,1543260957945634816,RT @nypost: Chick-fil-A is America's favorite restaurant — for the 8th year in a row https://t.co/bV5qcdxRGe https://t.co/AGFFeSbZEx,Negative
33,1543260947233402880,RT @SaycheeseDGTL: Chick-fil-A is named America's favorite restaurant for the 8th year in a row. McDonald’s came in last due to bad custome…,Negative
34,1543260937620160512,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
35,1543260936278081538,@sowegaCat Thats kind of bizarre to say ALL THE PEOPLE at Hobby Lobby and Chick FiL A are like that…. Some are just there to pay these inflated bills,Positive
36,1543260929848213506,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
37,1543260928921280512,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
38,1543260921325404160,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
39,1543260912135667716,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
40,1543260911049314306,RT @SherryfromLBK1: 🇺🇸💕Love Chick-fil-A💕🇺🇸 https://t.co/HnsJaM9HfX,Positive
41,1543260907924488200,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
42,1543260902106996743,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
43,1543260893458436097,RT @nypost: Chick-fil-A is America's favorite restaurant — for the 8th year in a row https://t.co/bV5qcdxRGe https://t.co/AGFFeSbZEx,Negative
44,1543260872373673984,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
45,1543260871622737920,RT @nypost: Chick-fil-A is America's favorite restaurant — for the 8th year in a row https://t.co/bV5qcdxRGe https://t.co/AGFFeSbZEx,Negative
46,1543260868443623424,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
47,1543260866971418628,RT @nypost: Chick-fil-A is America's favorite restaurant — for the 8th year in a row https://t.co/bV5qcdxRGe https://t.co/AGFFeSbZEx,Negative
48,1543260865054613504,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
49,1543260853549645824,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
50,1543260831281995776,RT @SaeedDiCaprio: omg??? chick fil a??? https://t.co/aIFp3enKB2,Negative
51,1543260824378171393,RT @SaeedDiCaprio: omg??? chick fil a??? https://t.co/aIFp3enKB2,Negative
52,1543260823153434627,"RT @FredWimpy: If you don’t like chick fil a because of their food, then I’m good with that. If it’s because of your politics, then you’re…",Negative
53,1543260813313445888,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
54,1543260806296399883,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
55,1543260805277159424,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
56,1543260799644450817,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
57,1543260798130307072,RT @SaeedDiCaprio: omg??? chick fil a??? https://t.co/aIFp3enKB2,Negative
58,1543260796192530436,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
59,1543260795768815617,RT @ohatchus: I love when liberals boycott Chick-fil-A.  The place no longer smells like unshowered ass &amp; the lines move so much quicker wh…,Positive
60,1543260793982050308,"RT @Joshes_Journal: If you get on Twitter to brag about boycotting Chick-fil-A when all of their drive-thrus always look like this, you one…",Positive
61,1543260784314269696,RT @nypost: Chick-fil-A is America's favorite restaurant — for the 8th year in a row https://t.co/bV5qcdxRGe https://t.co/AGFFeSbZEx,Negative
62,1543260772343681024,"@CoolMom169 @bookwormbarbiee @PelicanInMotion Girl, stop lying. https://t.co/qpXf5n3d8l",Negative
63,1543260763736899586,RT @mdtoorder: I’m 61 and I’ve never once been to Chick-Fil-A. Hobby Lobby either.,Negative
64,1543260763514580993,RT @SaeedDiCaprio: omg??? chick fil a??? https://t.co/aIFp3enKB2,Negative
65,1543260753515479044,"RT @luvjordan__: Paid for 3 random people tabs today while running errands. In the Produce store, Market, &amp; Chick Fil A. We all are going t…",Positive
66,1543260749430145030,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
67,1543260733386915841,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
68,1543260727875477504,RT @SaeedDiCaprio: omg??? chick fil a??? https://t.co/aIFp3enKB2,Negative
69,1543260724700450816,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
70,1543260722519498753,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
71,1543260704853082112,RT @CajunBlueAZ1: Hobby Lobby and Chick-fil-A hate the LGBTQ community and oppose reproductive rights. I do not give our business to faith/…,Positive
72,1543260694124060672,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
73,1543260685496369152,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
74,1543260682199744516,"RT @MattHasTweets_: I trust Chick-fil-A so much that I don’t even check my bag and if they get my order wrong, I just assume they know what…",Negative
75,1543260682170372097,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
76,1543260653242257415,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
77,1543260651015098368,"@sowegaCat Get over yourself, Chick-fil-a is delicious.",Positive
78,1543260648896925697,"RT @doblerspeaks: Hobby lobby and Chick-fil-A trending again, the Russian bots / conservative activists are all over it.

I personally don'…",Positive
79,1543260634023878657,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
80,1543260632170074112,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
81,1543260625689645056,RT @nypost: Chick-fil-A is America's favorite restaurant — for the 8th year in a row https://t.co/bV5qcdxRGe https://t.co/AGFFeSbZEx,Negative
82,1543260621613006850,"@LarryFinesGhost 2019 donors to anti-LGBTQ politicians ($$$ and #'s):

1. AT&amp;T $2.8M (193)
2. UPS $2.4M (159)
3. Comcast $2.2M (154)
4. Home Depot $1.8M (111)
5. G.E. $1.4M (97)
6. FedEx $1.3M (75)
7. Verizon $1.1M (72)

Chick-Fil-A: ""The only thing more repugnant than our food is our COMPANY."" https://t.co/VAtlkF87Js",Negative
83,1543260619847114753,RT @nypost: Chick-fil-A is America's favorite restaurant — for the 8th year in a row https://t.co/bV5qcdxRGe https://t.co/AGFFeSbZEx,Negative
84,1543260614897844224,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
85,1543260612574298112,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
86,1543260612096135168,"RT @SuburbanMaga: #MAGAMonth 
Chick-fil-A is America's favorite restaurant -- for the 8th year in a row https://t.co/WEZysXKF1z via @nypost",Positive
87,1543260610233651200,RT @fIameonfire: imagine someone almost crashes into your car and then they give you a thumbs up and pull into a chick fil a drive through,Negative
88,1543260609889837056,I eat Chick-fil-A and Ben &amp; Jerry’s.,Negative
89,1543260608207867909,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
90,1543260604567257090,"RT @DontWalkRUN: I don't think he knew that the address we were driving to was Chick-fil-A. And when we pulled up he said ""I like Chick-fil…",Negative
91,1543260584317259778,@ACTBrigitte Even at my age I love to get me a chicken sandwich and fries from Chick Fil A. Great food great people.,Negative
92,1543260582807097344,RT @SherryfromLBK1: 🇺🇸💕Love Chick-fil-A💕🇺🇸 https://t.co/HnsJaM9HfX,Positive
93,1543260572791279616,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
94,1543260567799926787,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
95,1543260566080262145,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
96,1543260556060250112,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
97,1543260551698006016,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
98,1543260544177541120,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
99,1543260541212295170,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
